serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
m3wjc22wyh88,59.16183,1600044620561,0.727637,107,97827,59.23251,295.3893,97,599.2811,fFrU8brLxN5Wea7PQwJg,0,3,22.24485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,89.53358,1599821709822,3.782811,-140,96885,36.16629,376.3974,97,1588.685,So15xXTTj0GAoVeomUCA,4475,3,30.78985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,76.90652,1599925818511,1.207484,110,97255,31.82425,344.5034,97,833.2633,fFrU8brLxN5Wea7PQwJg,4474,3,32.73985,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1600788912477,0.5,174,96284,40.76384,428.414,94,500,I1t2t86ZQoGIAv1i30r9,750,0,29.71485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,188.5832,1601837713421,12.46539,-30,95474,50.16744,498.9374,62,2377.554,UefkqbOojs07AR21i0ix,61,3,22.44485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,245.9767,1601687720237,52.27884,-159,94177,59.88553,612.8777,84,3325.95,I1t2t86ZQoGIAv1i30r9,0,2,22.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,230.6852,1598682616935,357.749,-33,95994,57.727,453.608,97,4598.234,UefkqbOojs07AR21i0ix,102,3,24.01985,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599690036542,0.5,69,97265,55.2065,343.6422,97,500,gbeSfksDVEIUEEz60y87,0,0,23.7,U6rvFKB7l8gOFQca1lMf8zP0i8X2
wthsftyK5vgu,210.4712,1599701419518,10.45498,-29,97353,52.74296,336.0716,97,2261.205,UefkqbOojs07AR21i0ix,0,3,23.96485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,158.7437,1600847113276,3.860817,-179,96356,57.49151,422.1684,89,1602.188,I1t2t86ZQoGIAv1i30r9,288,3,24.10485,ztx11HwFoJPuDJd1p7lLilvvkjg2
